文本,文本1
　　进展情况：一是对全市信访代办员队伍进行摸底，详细了解信访代办员的具体数量、人员构成等，确保底数清、情况明。1-4月份全市共有信访代办员3261名，其中党员干部2991名，志愿服务者和其他社会力量共270名，共代办信访事项654件，化解511件，化解率78.13%。二是指派专人对代办台账、代办员数据填报等工作进行督导把关，并严格以网上智能辅助平台的信访代办数据为准。各旗县区信访代办员每月开展一次矛盾纠纷排查工作，建立完善的代办信访事项工作台账。三是5月12日向青山区区委、区政府下发《关于做好信访代办工作的提醒函》，要求做好整改督导检查工作。四是5月12日，向各旗县区、稀土高新区信访联席办下发通知，要求做好代办员业务培训、代办台账建立等工作。采取电话沟通、网上和实地指导等线上线下相结合方式，做好各旗县区信访代办工作的指导培训工作。4月底赴各旗县区实地指导信访代办工作。




　　5.防范化解重大风险意识不强




　　（9）履行保密责任欠佳。




　　进展情况：一是对涉密人员、电脑、文件等进行了清查，发现问题及时整改。对2023年、2024年漏签的保密承诺书进行了补签。二是组织全体干部职工集中学习了《中华人民共和国保守国家秘密法》，对未签保密承诺书人员组织进行了补签。三是4月29日，对全局保密工作开展了大检查。四是4月份开展了保密宣传月活动，组织干部职工参与保密教育线上培训，在微信公众号及工作群发布保密宣传文章，张贴宣传海报，组织观看保密宣传片，进一步提升全体干部职工的保密意识。五是2月27日，分管领导对保密工作负责人及法规科科长进行了约谈提醒，督促落实责任。




　　（10）安全管理有漏点。




　　进展情况：一是安排专人对所有故障摄像头、安检设备进行了全面检查，故障摄像头已进行维修，现已正常使用。二是3月20日制定了《包头市联合接访中心安全检查制度》《包头市联合接访中心接待场所安检规范》，由专人每周进行安全检查，发现问题及时上报、认真整改。三是2月28日对保安人员进行了专题安全知识培训和实操训练，提升安全意识，消除一切不安全隐患，同时经常性开展安全培训、实操训练。每周检查1次安检情况。




　　（二）整治群众身边不正之风和腐败问题不力，形式主义问题时有发生




　　6.全面从严治党责任压得不实




　　（11）履行主体责任存在薄弱环节。




　　进展情况：一是党组书记及班子成员到党建联系点开展党建工作、全面从严治党调查研究1次，形成4篇高质量党建工作调研报告。二是强化监督检查，加强对廉政风险防控排查工作的监督检查，尤其是对物资采购、合同签订、资金支付等工作加强检查力度，强化跟踪问效。每次党组会均邀请派驻纪检组、专职纪检委员列席会议，进行监督。三是2月27日分管领导对市驻京信访服务中心负责人进行了约谈提醒。




　　（12）廉政教育不经常。




　　进展情况：一是2025年3月18日建立了《市信访局廉政谈话制度》。按照廉政谈话制度规定要求和具体内容，2025年3月19日印发了《包头市信访局关于开展廉政谈话的通知》，截止2025年3月31日，已完成全员覆盖式廉政谈话，其中：党组书记对班子成员、科室（单位）负责人进行了16人次谈话；班子成员与分管科室（单位）负责人进行了12人次谈话；科室（单位）负责人与科员进行了35人次谈话。二是对已完成的廉政谈话记录进行审核把关，由相关人员确认签字。督促谈话人员按照提纲内容进行谈话，对内容不规范，针对性不强的谈话及时纠正提醒，谈话效果明显。




　　完成情况：已完成整改




　　7.形式主义问题依然存在




　　（13）为基层减负不到位。




　　进展情况：一是领导班子已在2024年度民主生活会暨巡察整改专题民主生活会上认领责任，深刻剖析反思，制定了明确整改措施。二是严格落实为基层减负有关规定和《信访工作条例》要求，对于上级在60日内重复转交办事项，及时沟通对接，予以纠正。目前已不存在60日内向责任地区、部门重复转交办情况。三是将《信访工作条例》学习纳入党校培训，拟于9月开班。每日早例会集体学习《信访工作条例》。参加自治区信访业务大讲堂培训五期。实地赴白云区手把手帮扶指导2次、昆区、青山区、东河区各1次。依托信访信息系统规范化评查模块累计开展评查3939次。针对发现的“四应四不""突出问题，下发点对点专项通报8期。




　　（14）考勤管理有漏项。




　　进展情况：一是核实情况后已补充两名干部诊断证明佐证材料。二是3月19日制定印发了《市信访局关于规范请销假流程的通知》。市驻京信访服务中心已在中心请销假制度中完善了请销假流程。三是加强监督管理，启动企业微信打卡。机关专职纪检委员对干部职工出勤和请销假情况进行监督检查、每日抽查并汇总报告主要领导和分管领导。




　　8.执行财经纪律不严




　　（15）国有资产管理有漏洞。




　　进展情况：一是已按照固定资产管理标准对涉及的资产明细进行自查，对3.35万元会议设备、监控电视摄像机等未入账固定资产进行核实并录入资产管理系统，进行资产标签粘贴。二是严格按照制度要求规范管理固定资产，明确办公室主任为固定资产管理人。三是3月份已对全局固定资产进行了一次盘查，确保账实相符。四是2月27日分管领导对财务工作负责人进行了约谈提醒。




　　（16）资金支付监管有弱项。




　　进展情况：一是加强合同内容条款和资金支付监管，按照财务系统支付细化支付审批流程，明确各级审批权限。二是强化资金支付风险评估，在每次大额资金（局机关各科室、市联合接访中心超2万元、市驻京信访服务中心超5万元）支付前，必须经党组会议研究后作为支付决策的重要依据。三是2025年以来积极组织办公室财务负责人和财务人员参加市财政组织的资产年报编报系统操作培训、政府采购政策宣讲培训、行政事业单位内部控制建设培训、内部审计统计调查直报系统使用培训4次，强化业务学习和业务能力提升。四是驻京信访服务中心在2025年4月与物业公司续签的合同中，明确规定物业费支付方式为按月支付。五是2月27日分管领导对财务工作负责人进行了约谈提醒。




　　（17）执行公务卡报销制度不严格。




　　进展情况：一是规范财务结算方式，以使用公务卡等转账方式支出各类费用，杜绝使用现金支付。二是增强财务报销的监督力度，对报销差旅费等财务支出先由财务部门审核，符合规定的报办公室主任、分管领导签批，最后由单位“一把手""严格检查把关。三是举一反三，对2024年10月份以后出差票据进行了核查，对报销差旅费人员公务卡使用情况加大了监督检查力度。自2024年11月至2025年6月底共计核查报销差旅费53笔合计93471.50元，全部按要求使用了公务卡结算。四是2月27日分管领导对财务工作负责人进行了约谈提醒。




　　（18）往来账款长期挂账未清理。




　　进展情况：一是对往来账款进行了全面清查核对，摸清了长期挂账款项的形成原因、责任主体和具体情况。二是已聘请有资质审计公司，对长期挂账进行专项审计，按照审计结果对往来款项进行处置。其中对10年以上账龄371907.31元进行了核销和账务调整；5年及以上调整了26060元；对近两年其他应收应付127538.91元将按照审计报告进行专项调整和冲销等。三是定期开展往来账款核对工作，避免新的挂账问题产生。四是2月27日分管领导对财务工作负责人进行了约谈提醒。




　　（三）贯彻落实新时代党的组织路线不到位，干部队伍建设有短板




　　9.政治引领作用发挥不充分




　　（19）班子自身建设与市委中心工作融合不紧密。




　　进展情况：一是梳理排查了2025年以来涉企信访事项并建立台账，对涉及侵害企业合法权益信访举报等案件优先受理、限时办结、及时反馈，坚决杜绝不作为、慢作为、乱作为等问题发生。二是增强服务意识，今年以来班子成员深入企业进行座谈交流和实地调研1次，主动倾听企业诉求和意见建议，及时纾困解难，帮助化解信访矛盾隐患，形成调研报告4篇。




　　（20）重要议事规则有欠缺。




　　进展情况：一是2025年5月13日印发了修订完善的《中共包头市信访局党组会议议事决策规则（试行）》，将审计、巡视巡察、监督检查、考核奖惩等重大事项纳入议事范围。二是2025年1月2日修订印发了《中共包头市信访局党组“三重一大""集体决策实施细则》，同时对市驻京信访服务中心“三重一大""制度进行了重新评估，统一了支出决策标准。三是2025年4月10日第10次局党组会对市信访局“三重一大""制度进行了认真学习，确保每位成员熟知和遵守。




　　10.干部选用工作有差距




　　（21）未进行任前档案审核就召开党组会讨论干部任免决定。




　　进展情况：一是局党组在2025年2月13日第5次局党组会议上主动认领责任，分管党组成员、副局长牵头负责，剖析原因主要是干部选拔任用档案审核工作要求掌握不到位、细节审核把关不严格导致，并引以为鉴，杜绝类似问题再次发生。二是2025年2月18日第6次局党组会专题学习了《党政领导干部选拔任用工作条例》，2025年3月28日组织科以上干部观看了《党政领导干部选拔任用工作条例》（2019年修订版）解读专题讲座。三是严格执行干部任前档案审核相关制度，对新进人员严格开展档案审核工作。四是2025年2月27日，分管领导对时任组织人事工作负责人进行了约谈提醒。




　　（22）政治素质考察不深入。




　　进展情况：一是局党组在2025年2月13日第5次局党组会议上主动认领责任，分管党组成员、副局长牵头负责，剖析原因主要是政治素质考察制度学习不够深入、审核把关不严格导致，并引以为鉴，杜绝类似问题再次发生。二是2025年2月18日第6次局党组会议专题学习了《党政领导干部选拔任用工作条例》《内蒙古自治区加强领导干部政治素质考察办法》，2025年3月28日并组织科以上干部观看学习了《党政领导干部选拔任用工作条例》（2019年修订版）解读专题讲座。三是认真贯彻执行《内蒙古自治区加强领导干部政治素质考察办法》，巡察以来局机关公务员未进行调整，局属二级事业单位市联合接访中心2025年5月专业技术中级十级岗位竞聘2人，参照《办法》在考察中突出铸牢中华民族共同体意识、重点任务担当作为表现等内容，着力考准考实干部政治素质。四是强化组织把关，今后干部调整政治素质考察材料经考察组、局党组逐级把关，确保全面客观体现考察对象政治素质。五是2025年2月27日，分管领导对时任组织人事工作负责人进行了约谈提醒。




　　（23）执行公示制度有偏差。




　　进展情况：一是局党组在2025年2月13日第5次局党组会议上主动认领责任，分管党组成员、副局长牵头负责，剖析原因主要是干部选拔任用公示等制度掌握不熟练、把关审核不严格导致，并引以为鉴，杜绝类似问题再次发生。二是2025年3月6日第7次局党组会专题学习了《关于〈党政领导干部选拔任用条例〉若干问题的答复意见》。组织人事干部结合工作实际常态学习，确保工作严谨规范。三是严格执行党政领导干部任前公示制度，局党组、分管领导、综合科负责人对公示对象、主体、时间等内容逐级审核把关，确保规范严谨。四是2025年2月27日分管领导对时任组织人事工作负责人进行了约谈提醒。




　　11.基层党组织建设存在薄弱环节




　　（24）领导干部参加支部活动不积极。




　　进展情况：一是党组书记、分管党建工作班子成员已分别在2024年度民主生活会暨巡察整改专题民主生活会上认领责任，深刻剖析反思，并制定明确整改措施。二是加强宣传教育，2025年5月16日制定印发了《2025年度党建“三级四岗""责任清单》，以早例会等多种方式经常性开展学习教育，提高领导干部对于党建和支部活动重要性的认识，增强参与组织生活的积极性和主动性；三是加强对所属二级单位和各支部的工作指导力度，通过日调度会、下发《工作提示》《工作安排》等形式，就重点学习内容进行提醒安排，并督促落实。截至目前，下发《工作提示》3期，《工作安排》1期。四是2025年5月中旬，对各党支部重点工作开展情况进行了检查指导，重点对领导干部参与支部组织生活、主题党日情况进行督导检查，并列入年度书记述职评议重要内容予以推动落实。




　　（25）落实组织生活制度不严格。




　　进展情况：一是5月19日通过早例会组织各支部集中学习了《中国共产党支部工作条例（试行）》，深入领会执行组织生活制度重要意义和内在要求。二是加强组织生活的规范化管理，5月16日印发了《包头市信访局基层党组织组织生活会和民主评议党员工作程序》，利用日调度、周例会以及支部书记调度群，经常性对支部召开组织生活会进行监督指导，机关党总支派员列席所属支部组织生活会。




　　（26）支部工作不认真。




　　进展情况：一是优化沟通机制，利用周例会、日调度以及支部书记调度工作群等方式加强各支部沟通交流，确保工作信息传递及时准确。二是加强对支部“三会一课""和主题党日活动的监督指导，5月上旬，对各支部重点工作进行了检查，发现问题及时纠正；三是组织生活会后，机关党总支对党支部民主评议党员情况进行审定并报市直机关工委备案。四是2月27日，分管领导对时任党建工作负责人及四个支部书记进行了约谈提醒。




　　（四）对上轮巡察发现问题重视不够、边改边犯




　　（27）党组对上轮巡察发现问题整改盯得不紧。




　　进展情况：一是2025年2月13日第5次局党组会议上，党组成员认领了上轮巡察发现问题整改盯得不紧问题，剖析原因主要是对廉政风险防控、民主生活会、组织生活会、公车使用和专项基金工作认识不够、管理不严导致，并引以为鉴，杜绝类似问题再次发生。二是加强组织生活的规范化管理，5月16日印发了《包头市信访局基层党组织组织生活会和民主评议党员工作程序》，严格落实组织生活会各项工作程序，利用早例会、工作提醒等方式反复督促提醒，坚决杜绝再次出现“以建议代替批评""问题，会前加强监督检查。三是已对二级单位的车辆进行严格管理，严格用车审批程序。四是已对重大活动信访保障经费项目进行梳理，严格把控报销。五是强化监督检查，加强对廉政风险防控排查工作的监督检查，参加列席局党组“三重一大""会议，尤其是对物资采购、合同签订、资金支付等工作加强检查力度，强化跟踪问效。




　　三、下一步工作打算




　　（一）强化政治引领，压实主体责任。市信访局党组将持续深入学习贯彻习近平总书记关于加强和改进人民信访工作的重要思想，认真履行全面从严治党主体责任、局党组书记“第一责任人""责任和班子成员“一岗双责""责任，进一步强化组织推动、宣传教育、监督检查，逐级传导压力，持续深入抓好巡察整改落实工作。常态化开展巡察整改“回头看""，进一步巩固提升整改实效，坚决防止问题反弹，确保全面从严治党落到实处。




　　（二）巩固整改成果，构建长效机制。针对巡察组反馈问题，坚持把集中整改与建立长效机制同步推进，既立足解决具体问题，又深入分析产生问题的深层次原因，按照整改一批、规范一批、建制一批、巩固一批的思路，有针对性地制定完善相关制度，以制度建设的成效固化巡察反馈问题整改成果，坚持以制度管人管事，提升内部管理规范化水平。同时，加强对制度执行情况的监督检查，确保制度执行到位、落实有力。




　　（三）注重成果转化，统筹推进工作。坚持以巡察整改为契机，把整改落实与持之以恒推进全面从严治党、全面推进信访工作法治化、强化信访部门政治机关建设和信访干部队伍建设等工作结合起来，举一反三、标本兼治，持续深化巡察整改成果转化运用，将巡察整改成果转化为推动信访工作高质量发展的强大动力，为全市经济社会高质量发展营造安全稳定的社会环境。




　　欢迎广大干部群众对巡察整改落实情况进行监督。如有意见建议，请及时向我们反映。电话：0472-5616730；通讯地址：包头市九原区开元大街1号党政大楼副楼c214；电子邮箱：xinfangju503@163.com。




中共包头市信访局党组




2025年7月14日


"
北京市信访办公室关于1+16网上信访、市长信箱暂停服务的通知,"北京市信访办公室关于1+16网上信访、市长信箱暂停服务的通知










各位用户：




　　因系统升级维护，1+16 网上信访、市长信箱将于 2025 年 6 月 23 日 17:00 至 20:00 暂停服务，由此给您带来的不便，敬请谅解。




　　特此通知。










北京市信访办公室




2025年6月23日


"
中共翁源县委社会工作部、中共翁源县委非公有制经济组织和社会组织工作委员会、翁源县人民来访接待大厅和翁源县信访局搬迁公告,"中共翁源县委社会工作部、中共翁源县委非公有制经济组织和社会组织工作委员会、翁源县人民来访接待大厅和翁源县信访局搬迁公告










　　作者：本站编辑来源：翁源县委社会工作部发布时间：2025-06-1915:12:22字号：[大中小]




　　根据工作安排，中共翁源县委社会工作部、中共翁源县委非公有制经济组织和社会组织工作委员会、翁源县人民来访接待大厅和翁源县信访局将于 2025 年 6 月 23 日起搬迁至翁源县龙仙镇环城北路 3 号（原翁源县交警大队办公楼）一层和第二层办公。6 月 19 日 -22 日期间，电话移机搬迁，造成不便，敬请谅解。




　　特此公告。










中共翁源县委社会工作部




2025年6月19日


"
北京市石景山区信访办公室关于填写《北京市人行道使用现状调查问卷》的通知,"北京市石景山区信访办公室关于填写《北京市人行道使用现状调查问卷》的通知










　　近期市政府人民建议征集办公室开展步行和自行车交通环境综合治理提升人民建议专项征集活动，现诚邀您填写《北京市人行道使用现状调查问卷》。




　　本次调查旨在了解公众对北京市人行道的使用体验、存在问题及改善建议，为相关部门在优化人行道设计、提升通行安全与便捷性、完善管理维护等方面提供参考依据。




　　问卷大约需5分钟完成，所有信息将仅用于学术研究与政策建议，不涉及任何个人身份信息。




　　感谢您的参与和支持。




　　




北京市石景山区信访办公室




2025年5月28日


"
海南省住房和城乡建设厅关于住建领域扫黑除恶线索转入信访渠道的公告,"海南省住房和城乡建设厅关于住建领域扫黑除恶线索转入信访渠道的公告










　　为拓宽涉黑涉恶线索摸排渠道，高效规范受理群众诉求，我厅现将住建领域扫黑除恶线索举报方式转入信访渠道，原举报邮箱(hnszjtshb@163.com)至公示之日起废止。




线索受理方式如下:




　　举报电话:0898-65371036(工作日 8:00-17:30)




　　线上反馈线索：可登录我厅官网“互动交流""栏中“网上信访""反馈线索;




　　书面材料寄送：海南省海口市海府路 59 号省住房城乡建设厅 (收);邮政编码:570204。










海南省住房和城乡建设厅




2025年5月16日




　　附件：网上信访操作指南.png


"
山东省司法厅、山东省信访局关于印发《进一步深化人民调解参与信访工作对接推进信访工作法治化工作指引》的通知,"山东省司法厅、山东省信访局关于印发《进一步深化人民调解参与信访工作对接推进信访工作法治化工作指引》的通知




鲁信访〔2025〕6号










各市司法局、信访局，省有关部门、单位:




　　现将《进一步深化人民调解参与信访工作对接推进信访工作法治化工作指引》印发给你们，请结合工作实际，认真抓好贯彻落实。




山东省司法厅　山东省信访局




2025年5月6日




进一步深化人民调解参与信访工作对接




推进信访工作法治化工作指引




　　为落实司法部、国家信访局《关于进一步深化人民调解参与信访工作对接推进信访工作法治化的意见》，在信访工作领域更好践行新时代“枫桥经验""，把“预防在前、调解优先、运用法治、就地解决""落到实处，推进信访事项依法及时就地化解，制定本工作指引。




　　一、明确适用范围




　　（一）适用人民调解的情形。对于下列申诉求决类信访事项，经争议双方当事人同意，信访部门和有权处理的机关、单位可以移交或委托人民调解组织调解:①公民之间有关人身损害赔偿、财产权益和其他权益的纠纷；②公民与法人之间或其他社会组织之间的民事纠纷；③公民、法人或其他社会组织与行政机关之间发生的具有民事权利义务争议的纠纷；④其他依法可以通过人民调解处理的信访事项。




　　（二）不适用人民调解的情形。对于下列信访事项，不适用移交或委托人民调解组织调解:①根据《信访工作条例》等法律法规规定的只能由专门机关管辖处理的；②应当通过审判机关诉讼程序或复议程序、检察机关刑事立案程序或法律监督程序、公安机关法律程序处理的，涉法涉诉未依法终结的；③公民、法人或其他社会组织与行政机关之间发生的行政争议；④一方当事人明确拒绝调解的；⑤其他法律、法规规定的不宜采用人民调解方式解决的。




　　二、畅通对接渠道




　　（一）与乡镇 (街道) 人民调解委员会对接。乡镇 (街道) 负责信访工作的机构与人民调解委员会建立工作对接关系，对群众通过信访渠道反映的婚恋家庭、邻里、房屋宅基地等一般矛盾纠纷，经引导当事人同意调解的，及时移交调解。鼓励乡镇 (街道) 信访干部担任人民调解员，鼓励选拔调解经验丰富的干部从事信访工作。




　　（二）与行业性专业性人民调解组织对接。县级以上信访部门及其他机关、单位与本地区行业性专业性人民调解组织建立工作对接关系，对群众通过信访渠道反映的医疗纠纷、交通事故、物业管理、劳动争议、环境保护等行业、专业领域矛盾纠纷，经引导当事人同意调解的，及时委托调解。行业性专业性人民调解组织可以设立“信访事项绿色通道""，为化解信访事项提供专业支撑和快捷服务。




　　（三）设立派驻人民调解组织。司法行政部门会同信访等部门统筹用好现有人民调解力量，根据工作需要在信访部门设立派驻人民调解组织，实现信访工作与人民调解直接对接。有条件的县 (市、区) 信访部门可以设立信访事项人民调解组织。对情况较为复杂、涉及多个行业领域和地区、社会影响较大、适合人民调解的信访事项，及时导入调解程序；必要时信访部门牵头组织相关行业主管部门、行业性专业性人民调解组织等进行联合调解。鼓励在市、县 (市、区) 信访接待场所设立个人品牌调解室，由调解经验丰富、善做群众工作的人民调解员、信访干部等承担信访事项调解工作。




　　三、规范工作流程




　　（一）甄别引导。信访部门或有权处理的机关、单位对收到的信访事项，研判认为符合人民调解适用范围、适宜通过调解方式化解且信访人同意调解的，与建立对接关系的人民调解组织沟通达成一致意见后，向信访人发放《访调对接告知单》，引导其选择人民调解渠道化解矛盾纠纷。信访事项较为复杂、难以立即判定的，信访部门和有权处理的机关、单位应填写《访调对接征询单》，转人民调解组织，由其研判是否符合人民调解范围并在 3 个工作日内反馈结论。信访部门和有权处理的机关单位应做好甄别工作，提前与人民调解组织沟通对接，对不符合人民调解受理条件的，及时按照《信访工作条例》规定受理办理。人民调解组织应以认真负责、专业审慎的态度做好研判工作，尽可能避免信访事项委托或移送调解后出现不予受理、导致矛盾激化的情况。




